Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,Investment_Type,Amount_USD,Remarks,Year,amount_category,investor_count
2020-01-09,BYJU’S,EdTech,E-learning,Bangalore,Tiger Global Management,Private Equity,200000000.0,No Remark,2020,High,1
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,3000000.0,No Remark,2020,Medium,1
2020-01-02,Fashor,Technology,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,1800000.0,No Remark,2020,Medium,1
2020-01-13,Shuttl,Technology,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,No Remark,2020,Medium,1
2020-01-09,Mamaearth,Technology,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860.0,No Remark,2020,High,1
2020-01-13,Pando,Technology,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,No Remark,2020,Medium,1
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,150000000.0,No Remark,2020,High,1
2019-12-17,Healthians,FoodTech,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,No Remark,2019,High,3
2019-12-16,Licious,ECommerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000.0,No Remark,2019,High,1
2019-11-14,Misters,Technology,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,No Remark,2019,Low,2
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,No Remark,2019,Medium,1
2019-12-06,CarDekho,ECommerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,No Remark,2019,High,1
2019-12-03,Dhruva Space,Technology,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Funding,50000000.0,No Remark,2019,High,2
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0,No Remark,2019,High,2
2019-08-21,HungerBox,FoodTech,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000.0,No Remark,2019,Medium,1
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Funding,1000000.0,No Remark,2019,Medium,1
2019-11-13,Freshworks,Technology,Business and customer engagement tools,Unknown,"Sequoia, CapitalG, Accel",Series H,150000000.0,No Remark,2019,High,3
2019-12-20,Lenskart.com,ECommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0,No Remark,2019,High,1
2019-12-11,Rein Games,Technology,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,50000000.0,No Remark,2019,High,1
2019-12-14,Trell,Technology,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Funding,2000000.0,No Remark,2019,Medium,1
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Other,1000000000.0,No Remark,2019,High,1
2019-12-16,InCred,FinTech,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000.0,No Remark,2019,Medium,1
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,No Remark,2019,High,2
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Other,146447100.0,No Remark,2019,High,1
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Other,4500000.0,No Remark,2019,Medium,2
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,No Remark,2019,Medium,1
2019-09-04,Digital F5,Technology,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000000.0,No Remark,2019,Medium,1
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0,No Remark,2019,Medium,1
2019-09-04,75F,Technology,Building automation system,Unknown,Breakthrough Energy Ventures,Series A,18000000.0,No Remark,2019,High,1
2019-09-04,Myelin Foundry,Technology,Deep-technology,Bangalore,Endiya Partners,Seed Funding,1000000.0,No Remark,2019,Medium,1
2019-07-09,House of Msasaba,Technology,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,No Remark,2019,Medium,1
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Funding,319605.0,No Remark,2019,Low,1
2019-06-05,NoBroker,ECommerce,Real Estate,Bangalore,General Atlantic,Series C,51000000.0,No Remark,2019,High,1
2019-06-04,Bira91,FoodTech,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0,No Remark,2019,Medium,1
2019-08-01,CarDekho,ECommerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,No Remark,2019,High,1
2019-08-01,Progcap,FinTech,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0,No Remark,2019,Medium,1
2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bangalore,Unknown,Seed Funding,1600000.0,No Remark,2019,Medium,1
2019-08-01,Alteria Capital,FinTech,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Other,140000000.0,No Remark,2019,High,2
2019-08-01,Pine Labs,Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Other,38080000.0,No Remark,2019,High,1
2019-08-12,Meesho,ECommerce,Social Commerce,Bangalore,Naspers,Series D,125000000.0,No Remark,2019,High,1
2019-08-13,Cars24,ECommerce,Car Retail,Gurgaon,MS Dhoni,Series D,11000000.0,No Remark,2019,High,1
2019-08-13,Uniphore,Technology,Conversational AI,Unknown,March Capital Partners,Series C,51000000.0,No Remark,2019,High,1
2019-08-23,Zendrive,Technology,Road Safety Analytics,Unknown,XL Innovate,Series B,37000000.0,No Remark,2019,High,1
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,500000.0,No Remark,2019,Low,5
2019-08-23,Tala,FinTech,Digital Lending Platform,Unknown,RPS Ventures,Series D,110000000.0,No Remark,2019,High,1
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0,No Remark,2019,High,1
2019-06-04,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,3400000.0,No Remark,2019,Medium,1
2019-05-06,Ola Electric,Technology,Cabs,Bangalore,Tata Sons,Series A,9236364.0,No Remark,2019,Medium,1
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,9236364.0,No Remark,2019,Medium,1
2019-08-19,Grofers,ECommerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0,No Remark,2019,High,1
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,No Remark,2019,High,4
2019-11-15,Vogo Automotive,Technology,Scooter sharing app,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,No Remark,2019,High,3
2019-11-19,Furtados School of Music,EdTech,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Seed Funding,200000000.0,No Remark,2019,High,1
2019-10-04,Dunzo,Technology,Delivery Service,Bangalore,Lightbox,Series D,45000000.0,No Remark,2019,High,1
2019-07-01,WizCounsel,Technology,Consulting,New Delhi,Kapil Dev,Angel Funding,145000.0,No Remark,2019,Low,1
2019-07-02,Atlan,Technology,Big Data,Unknown,WaterBridge Ventures,Pre-Series A,2500000.0,No Remark,2019,Medium,1
2019-07-02,RenewBuy,FinTech,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,No Remark,2019,High,2
2019-08-27,Rapido Bike Taxi,Technology,Bike Taxi,Bangalore,Westbridge Capital,Series B,3900000000.0,No Remark,2019,High,1
2019-05-05,StyleDotMe,Technology,Fashion and Shopping,New Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Other,146447100.0,No Remark,2019,High,4
2019-05-06,Saahas Zero Waste,Technology,Optimization,Bangalore,C4D Partners,Venture Round,868600.0,No Remark,2019,Low,1
2019-07-03,Ola Cabs,Technology,Cabs,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,No Remark,2019,Medium,3
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Chennai,March Capital Partners,Series C,38080000.0,No Remark,2019,High,1
2019-04-10,Toppr,EdTech,E-learning,Mumbai,Milestone,Debt Funding,6320820.0,No Remark,2019,Medium,1
2019-04-10,Craftsvilla,Technology,Fashion and Apparel,Mumbai,Supera Pte Ltd,Other,2443495.0,No Remark,2019,Medium,1
2019-07-04,Daalchini Technologies,FoodTech,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding,500000.0,No Remark,2019,Low,1
